timestamp,phase,component,cpu_pct,rss_mb
2026-07-26T20:46:27.260989,active,server,3.2,134.8
2026-07-26T20:46:32.267267,active,server,3.2,134.8
2026-07-26T20:46:37.275679,active,server,3.2,134.8
2026-07-26T20:46:42.284869,active,server,3.2,134.8
2026-07-26T20:46:47.474819,active,server,3.2,134.8
2026-07-26T20:46:52.481038,active,server,3.2,134.8
2026-07-26T20:46:57.486317,active,server,3.2,134.8
2026-07-26T20:47:02.491644,active,server,3.2,134.8
2026-07-26T20:47:07.496648,active,server,3.2,134.8
2026-07-26T20:47:12.503120,active,server,3.2,134.8
2026-07-26T20:47:17.690732,active,server,3.2,134.8
2026-07-26T20:47:22.696105,active,server,3.2,134.8
2026-07-26T20:47:27.701563,active,server,3.2,134.8
2026-07-26T20:47:32.706421,active,server,3.2,134.8
2026-07-26T20:47:37.711660,active,server,3.2,134.8
2026-07-26T20:47:42.716678,active,server,3.2,134.8
2026-07-26T20:47:47.894555,active,server,3.2,134.8
2026-07-26T20:47:52.900493,active,server,3.2,134.8
2026-07-26T20:47:57.905892,active,server,3.2,134.8
2026-07-26T20:48:02.913636,active,server,3.2,134.8
2026-07-26T20:48:07.918960,active,server,3.2,134.8
2026-07-26T20:48:12.924371,active,server,3.2,134.8
2026-07-26T20:48:18.107071,active,server,3.2,134.8
2026-07-26T20:48:23.112727,active,server,3.2,134.8
2026-07-26T20:48:28.118198,active,server,3.2,134.8
2026-07-26T20:48:33.123475,active,server,3.2,134.8
2026-07-26T20:48:38.128992,active,server,3.2,134.8
2026-07-26T20:48:43.134218,active,server,3.2,134.8
2026-07-26T20:48:48.319722,active,server,3.2,134.8
2026-07-26T20:48:53.325210,active,server,3.2,134.8
2026-07-26T20:48:58.330537,active,server,3.2,134.8
2026-07-26T20:49:03.335618,active,server,3.2,134.8
2026-07-26T20:49:08.341428,active,server,3.2,134.8
2026-07-26T20:49:13.347063,active,server,3.2,134.8
2026-07-26T20:49:18.530529,active,server,3.2,134.8
2026-07-26T20:49:23.539930,active,server,3.2,134.8
2026-07-26T20:49:28.549879,active,server,3.2,134.8
2026-07-26T20:49:33.555405,active,server,3.2,134.8
2026-07-26T20:49:38.560731,active,server,3.2,134.8
2026-07-26T20:49:43.565763,active,server,3.2,134.8
2026-07-26T20:49:48.752075,active,server,3.2,134.8
2026-07-26T20:49:53.757538,active,server,3.2,134.8
2026-07-26T20:49:58.762918,active,server,3.2,134.8
2026-07-26T20:50:03.767840,active,server,3.2,134.9
2026-07-26T20:50:08.773017,active,server,3.2,134.9
2026-07-26T20:50:13.778488,active,server,3.2,134.9
2026-07-26T20:50:18.961415,active,server,3.2,134.9
2026-07-26T20:50:23.966937,active,server,3.2,134.9
2026-07-26T20:50:28.972556,active,server,3.2,134.9
2026-07-26T20:50:33.977779,active,server,3.2,134.9
2026-07-26T20:50:38.988519,active,server,3.2,134.9
2026-07-26T20:50:43.994949,active,server,3.2,134.9
2026-07-26T20:50:49.182837,active,server,3.2,134.9
2026-07-26T20:50:54.188595,active,server,3.2,134.9
2026-07-26T20:50:59.193945,active,server,3.2,134.9
2026-07-26T20:51:04.199806,active,server,3.2,134.9
2026-07-26T20:51:09.205616,active,server,3.1,134.9
2026-07-26T20:51:14.210969,active,server,3.1,134.9
2026-07-26T20:51:19.392338,active,server,3.1,134.9
2026-07-26T20:51:24.398011,active,server,3.1,134.9
2026-07-26T20:51:29.403123,active,server,3.1,134.9
2026-07-26T20:51:34.408444,active,server,3.1,134.9
2026-07-26T20:51:39.413972,active,server,3.1,134.9
2026-07-26T20:51:44.595714,active,server,3.1,134.9
2026-07-26T20:51:49.601362,active,server,3.1,134.9
2026-07-26T20:51:54.606133,active,server,3.1,134.9
2026-07-26T20:51:59.614002,active,server,3.1,134.9
2026-07-26T20:52:04.621130,active,server,3.1,134.9
2026-07-26T20:52:09.626142,active,server,3.1,134.9
2026-07-26T20:52:14.810767,active,server,3.1,134.9
2026-07-26T20:52:19.816286,active,server,3.1,134.9
2026-07-26T20:52:24.821718,active,server,3.1,134.9
2026-07-26T20:52:29.826811,active,server,3.1,134.9
2026-07-26T20:52:34.832848,active,server,3.1,134.9
2026-07-26T20:52:39.837910,active,server,3.1,134.9
2026-07-26T20:52:45.023079,active,server,3.1,134.9
2026-07-26T20:52:50.028922,active,server,3.1,134.9
2026-07-26T20:52:55.034167,active,server,3.1,134.9
2026-07-26T20:53:00.039873,active,server,3.1,134.9
2026-07-26T20:53:05.045590,active,server,3.1,134.9
2026-07-26T20:53:10.051079,active,server,3.1,134.9
2026-07-26T20:53:15.230196,active,server,3.1,134.9
2026-07-26T20:53:20.237375,active,server,3.1,134.9
2026-07-26T20:53:25.244530,active,server,3.1,134.9
2026-07-26T20:53:30.250157,active,server,3.1,134.9
2026-07-26T20:53:35.256320,active,server,3.1,134.9
2026-07-26T20:53:40.262123,active,server,3.1,134.9
2026-07-26T20:53:45.443215,active,server,3.1,134.9
2026-07-26T20:53:50.448786,active,server,3.1,134.9
2026-07-26T20:53:55.454050,active,server,3.1,134.9
2026-07-26T20:54:00.459406,active,server,3.1,134.9
2026-07-26T20:54:05.465488,active,server,3.1,134.9
2026-07-26T20:54:10.471345,idle_post,server,3.1,134.9
2026-07-26T20:54:15.714519,idle_post,server,3.1,134.9
2026-07-26T20:54:20.720408,idle_post,server,3.1,134.9
2026-07-26T20:54:25.726487,idle_post,server,3.1,134.9
2026-07-26T20:54:30.731857,idle_post,server,3.1,134.9
2026-07-26T20:54:35.737257,idle_post,server,3.1,134.9
2026-07-26T20:54:40.750509,idle_post,server,3.1,134.9
2026-07-26T20:54:45.932895,idle_post,server,3.1,134.9
2026-07-26T20:54:50.938515,idle_post,server,3.1,134.9
2026-07-26T20:54:55.943614,idle_post,server,3.1,134.9
2026-07-26T20:55:00.949233,idle_post,server,3.1,134.9
2026-07-26T20:55:05.954410,idle_post,server,3.1,134.9
2026-07-26T20:55:10.959699,idle_post,server,3.1,134.9
2026-07-26T20:55:16.146249,idle_post,server,3.1,134.9
2026-07-26T20:55:21.152707,idle_post,server,3.1,134.9
2026-07-26T20:55:26.157968,idle_post,server,3.1,134.9
2026-07-26T20:55:31.163316,idle_post,server,3.1,134.9
2026-07-26T20:55:36.168910,idle_post,server,3.1,134.9
2026-07-26T20:55:41.174293,idle_post,server,3.1,134.9
2026-07-26T20:55:46.361336,idle_post,server,3.1,134.9
2026-07-26T20:55:51.367185,idle_post,server,3.1,134.9
2026-07-26T20:55:56.373077,idle_post,server,3.1,134.9
2026-07-26T20:56:01.385786,idle_post,server,3.1,134.9
2026-07-26T20:56:06.391874,idle_post,server,3.1,134.9
2026-07-26T20:56:11.397379,idle_post,server,3.1,134.9
2026-07-26T20:56:16.574372,idle_post,server,3.1,134.9
2026-07-26T20:56:21.580065,idle_post,server,3.1,134.9
2026-07-26T20:56:26.586144,idle_post,server,3.1,134.9
2026-07-26T20:56:31.591616,idle_post,server,3.1,134.9
2026-07-26T20:56:36.596831,idle_post,server,3.1,134.9
2026-07-26T20:56:41.602168,idle_post,server,3.1,134.9
2026-07-26T20:56:46.787754,idle_post,server,3.1,134.9
2026-07-26T20:56:51.793619,idle_post,server,3.1,134.9
2026-07-26T20:56:56.799277,idle_post,server,3.1,134.9
2026-07-26T20:57:01.804536,idle_post,server,3.1,134.9
2026-07-26T20:57:06.811422,idle_post,server,3.1,134.9
2026-07-26T20:57:11.817076,idle_post,server,3.1,134.9
2026-07-26T20:57:16.999862,idle_post,server,3.1,134.9
