chain_type,code_version,trial,fired,latency_sec
T1059->T1552,new,1,1,0.0
T1059->T1552,new,2,1,25.26
T1021->T1059->T1552,new,1,1,27.46
T1021->T1059->T1552,new,2,1,27.47
T1059->T1610->T1552,new,1,1,22.25
T1059->T1610->T1552,new,2,1,22.06
T1059->T1548->T1611,new,1,1,29.9
T1059->T1548->T1611,new,2,1,29.07
T1611->T1552,new,1,1,28.08
T1611->T1552,new,2,1,27.88
